,TF,target,importance
67,Jun,Hsp90ab1,251.2034762126188
43,Fos,Jun,223.99753337333712
43,Fosb,Fos,218.9145165936179
67,Jun,Tuba1a,209.69296228287462
86,Mycl,Gpr17,207.6541392638196
86,Mycl,Marcks,206.57646997425414
33,Egr1,Jun,204.21699619733715
72,Klf9,Ubc,203.10432794314656
86,Mycl,Mpzl1,191.04914081690544
86,Mycl,Neu4,189.93773978009244
86,Mycl,Epb41l2,188.00719743585196
72,Klf9,Sgk1,185.5803545658627
86,Mycl,Ermn,183.3597607714757
67,Jun,Hsp90aa1,181.9020122236695
86,Mycl,Gria2,171.46482252153166
43,Fos,Hsp90ab1,171.1125362055827
43,Fos,Fosb,167.6716983806157
72,Klf9,Mt1,164.32543810168346
42,Fos,Egr1,163.55640337285627
86,Mycl,Dynll2,163.24804457331118
67,Jun,Glul,162.71839568481062
67,Jun,Actb,157.21519247113443
86,Mycl,Scrg1,155.9733431101737
66,Jun,Fos,155.63832335363313
86,Mycl,Tns3,151.57037887172172
33,Egr1,Fos,150.96066386584084
43,Fosb,Egr1,146.1291390135455
86,Mycl,Gpr37l1,144.8166159887683
86,Mycl,Trio,139.5742592880957
86,Mycl,Ptpre,138.32997074891608
67,Jun,Gstp1,134.68303095308372
33,Egr1,Fosb,131.48754060104395
136,Sox6,Gpr17,128.40708141181273
136,Sox6,Neu4,125.88569763243169
86,Mycl,Fam3c,125.47532094762059
43,Fos,Hsp90aa1,125.04167916479986
43,Fos,Tuba1a,125.04091270052308
44,Fosb,Junb,124.74311989531974
86,Mycl,Lsamp,124.62173269395353
44,Fosb,Actb,124.60112933515595
86,Mycl,Ppfibp1,124.56563803589694
136,Sox6,Marcks,122.58167479176579
89,Myt1l,Celf4,117.08849144332513
86,Mycl,Sh3bp4,116.51913632207398
136,Sox6,Mpzl1,114.9244486818488
86,Mycl,Col9a3,114.47792509279468
136,Sox6,Ermn,113.15395987112619
86,Mycl,Tsc22d1,112.63777685568267
72,Klf9,Tnfaip6,110.51222121162544
136,Sox6,Rgcc,110.19283986222939
136,Sox6,Sh3bp4,109.57652294645749
135,Sox6,Mycl,109.40059778661121
136,Sox6,Gria2,108.59184079031444
136,Sox6,Gpr37l1,107.17567309559573
86,Mycl,Sox6,106.4327758367821
86,Mycl,Rnf128,105.3709147925393
