,source,values,pvalues,target,source cell type,target cell type,CT
23,CXCL12,0.2068157313771003,0.0,JAK2,Ependymal,NG2,2
40,TYK2,0.4749874105142006,0.0,PIK3R1,Ependymal,NG2,2
42,HBEGF,0.9565661701364394,0.0,PIK3R1,Ependymal,NG2,2
49,FGF7,0.5964341464792058,0.0,PIK3R1,Ependymal,NG2,2
64,CXCL12,0.4906278083342378,0.0,PIK3R1,Ependymal,NG2,2
65,AGT,0.6207684675961602,0.0,PIK3R1,Ependymal,NG2,2
67,VEGFA,0.484107819003419,0.0,PIK3R1,Ependymal,NG2,2
804,GDF15,0.11428366725503455,0.0,ERBB3,Ependymal,NG2,2
806,S100A4,0.17133053685460248,0.0,ERBB3,Ependymal,NG2,2
974,AGT,0.22353325264063797,0.0,PRKCE,Ependymal,NG2,2
1402,FGF7,0.2896601152463012,0.0,FGFR3,Ependymal,NG2,2
2419,CXCL10,0.08800174461556877,0.0,MAP2K3,Ependymal,NG2,2
2814,TYK2,0.1013924784093756,0.0,IFNAR2,Ependymal,NG2,2
2861,VEGFA,0.08052817920361804,0.0,VCAM1,Ependymal,NG2,2
3095,KMT2E,0.19824032886229964,0.008,RARA,Ependymal,NG2,2
3413,TYK2,0.07600380638131676,0.0,GHR,Ependymal,NG2,2
3431,CXCL12,0.20628077478450907,0.0,GNAI1,Ependymal,NG2,2
3884,VEGFA,0.10749835844156459,0.0,NRP2,Ependymal,NG2,2
3893,SEMA3E,0.13643197104952498,0.0,NRP2,Ependymal,NG2,2
3897,OXT,0.15179382610270034,0.0,SLC12A5,Ependymal,NG2,2
3938,ALCAM,0.4985927178905873,0.0,CHL1,Ependymal,NG2,2
3958,CXCL12,0.5571823166710154,0.0,ROCK1,Ependymal,NG2,2
3979,PTN,0.3679597501735873,0.0,CDH10,Ependymal,NG2,2
4049,ADM,0.13154493126238373,0.0,PTH1R,Ependymal,NG2,2
4055,AVP,0.12730897126013674,1.0,PTH1R,Ependymal,NG2,2
4057,VIP,0.13068758949825973,0.104,PTH1R,Ependymal,NG2,2
4167,VEGFA,0.12479951709149582,0.0,AKT3,Ependymal,NG2,2
4396,SLIT2,0.054601875885927145,0.0,ROBO2,Ependymal,NG2,2
4537,PAM,0.21166528593290868,0.0,FXYD1,Ependymal,NG2,2
455,FGF7,0.48972783174032986,0.0,PDGFRB,Ependymal,Endothelial,2
462,VEGFA,0.3774015042645431,0.0,PDGFRB,Ependymal,Endothelial,2
981,PTN,0.3529827029380403,0.0,PTPRZ1,Ependymal,Endothelial,2
1053,SLIT2,0.05570893384174744,0.0,PLXNA1,Ependymal,Endothelial,2
1073,VIP,0.09634963754588205,0.488,PTGS2,Ependymal,Endothelial,2
1402,FGF7,0.19101024245928666,0.0,FGFR3,Ependymal,Endothelial,2
1568,FGF7,0.1774649253933276,0.0,PDGFRA,Ependymal,Endothelial,2
1574,VEGFA,0.06513859791754081,0.0,PDGFRA,Ependymal,Endothelial,2
1596,VEGFA,0.07537364525793389,0.0,BCL2,Ependymal,Endothelial,2
1605,NPY,0.2945860634044725,0.0,ODC1,Ependymal,Endothelial,2
1891,FGF7,0.20015702770880212,0.0,VEGFA,Ependymal,Endothelial,2
1894,VIP,0.08000488396909733,0.792,VEGFA,Ependymal,Endothelial,2
2066,CXCL10,0.0865888103269422,0.0,CX3CR1,Ependymal,Endothelial,2
2067,CXCL12,0.10184685481994515,0.0,CX3CR1,Ependymal,Endothelial,2
2647,ADM,0.056774201126711235,0.0,ADRB2,Ependymal,Endothelial,2
2653,AVP,0.05253824112446422,1.0,ADRB2,Ependymal,Endothelial,2
2655,VIP,0.05591685936258724,0.961,ADRB2,Ependymal,Endothelial,2
2657,NPY,0.27510867216149154,0.0,ADRB2,Ependymal,Endothelial,2
2765,VEGFA,0.1641780800147773,0.0,CSF1,Ependymal,Endothelial,2
2861,VEGFA,0.23961727769129967,0.0,VCAM1,Ependymal,Endothelial,2
2986,CXCL10,0.09702323642053026,0.0,DPP4,Ependymal,Endothelial,2
2988,CXCL12,0.11228128091353323,0.0,DPP4,Ependymal,Endothelial,2
