,source,values,pvalues,target,source cell type,target cell type,CT
23,CXCL12,0.11958164152276138,0.0,JAK2,Ependymal,NG2,2
40,TYK2,0.2952036866804664,0.0,PIK3R1,Ependymal,NG2,2
42,HBEGF,0.5166340837560346,0.0,PIK3R1,Ependymal,NG2,2
49,FGF7,0.36003410824435866,0.0,PIK3R1,Ependymal,NG2,2
64,CXCL12,0.31027974186101825,0.0,PIK3R1,Ependymal,NG2,2
65,AGT,0.3643415641925004,0.0,PIK3R1,Ependymal,NG2,2
67,VEGFA,0.3031843708522614,0.0,PIK3R1,Ependymal,NG2,2
347,EFNB3,0.06718562086897727,0.791,EPHA4,Ependymal,NG2,2
804,GDF15,0.0642757174543311,0.0,ERBB3,Ependymal,NG2,2
806,S100A4,0.10489471709522247,0.0,ERBB3,Ependymal,NG2,2
974,AGT,0.11075345766328812,0.837,PRKCE,Ependymal,NG2,2
1245,EFNB3,0.05543116413010105,1.0,EPHB1,Ependymal,NG2,2
1402,FGF7,0.15590553637788757,0.0,FGFR3,Ependymal,NG2,2
1568,FGF7,1.2961696605466682,0.0,PDGFRA,Ependymal,NG2,2
1574,VEGFA,1.239319923154571,0.0,PDGFRA,Ependymal,NG2,2
2113,APOE,2.1548193316493847,0.0,LRP6,Ependymal,NG2,2
2419,CXCL10,0.047831006766542054,0.0,MAP2K3,Ependymal,NG2,2
2830,TYK2,0.0549051095062287,0.0,IFNAR2,Ependymal,NG2,2
2877,VEGFA,0.04264102972089412,0.0,VCAM1,Ependymal,NG2,2
3111,KMT2E,0.2772470315963797,0.0,RARA,Ependymal,NG2,2
3429,TYK2,0.0396558535075937,0.0,GHR,Ependymal,NG2,2
3447,CXCL12,0.12079378586228752,0.0,GNAI1,Ependymal,NG2,2
3846,EFNB3,0.0651733878069317,0.219,EPHB3,Ependymal,NG2,2
3885,VEGFA,0.06150231014549881,0.119,NRP2,Ependymal,NG2,2
3894,SEMA3E,0.0753706675297316,0.006,NRP2,Ependymal,NG2,2
3898,OXT,0.07837063934395821,0.0,SLC12A5,Ependymal,NG2,2
3939,ALCAM,0.2423858506650859,0.0,CHL1,Ependymal,NG2,2
3959,CXCL12,0.3337776315455698,0.0,ROCK1,Ependymal,NG2,2
3980,PTN,0.1907663561787981,0.999,CDH10,Ependymal,NG2,2
4050,ADM,0.06969291121398043,0.0,PTH1R,Ependymal,NG2,2
4056,AVP,0.10923651439665696,1.0,PTH1R,Ependymal,NG2,2
4058,VIP,0.07043229217553929,0.904,PTH1R,Ependymal,NG2,2
4168,VEGFA,0.07142760997933029,0.0,AKT3,Ependymal,NG2,2
4275,APOE,2.129329373056,0.0,LRP8,Ependymal,NG2,2
4397,SLIT2,0.027904244041255834,0.0,ROBO2,Ependymal,NG2,2
4538,PAM,0.11472448861984649,0.0,FXYD1,Ependymal,NG2,2
455,FGF7,0.272619850091529,0.0,PDGFRB,Ependymal,Endothelial,2
462,VEGFA,0.21577011269943178,0.0,PDGFRB,Ependymal,Endothelial,2
981,PTN,0.17028210909620262,1.0,PTPRZ1,Ependymal,Endothelial,2
1053,SLIT2,0.038667301973717476,0.0,PLXNA1,Ependymal,Endothelial,2
1073,VIP,0.05326776871437132,0.972,PTGS2,Ependymal,Endothelial,2
1232,EFNB3,0.03948575485985029,0.929,PAK1,Ependymal,Endothelial,2
1402,FGF7,0.0978361074204188,0.0,FGFR3,Ependymal,Endothelial,2
1568,FGF7,0.09295474781404572,1.0,PDGFRA,Ependymal,Endothelial,2
1574,VEGFA,0.03610501042194851,1.0,PDGFRA,Ependymal,Endothelial,2
1596,VEGFA,0.04477052076499412,0.0,BCL2,Ependymal,Endothelial,2
1605,NPY,0.16151263260669874,0.0,ODC1,Ependymal,Endothelial,2
1891,FGF7,0.10523358490124878,0.0,VEGFA,Ependymal,Endothelial,2
1894,VIP,0.04438440728721989,0.991,VEGFA,Ependymal,Endothelial,2
2040,VIP,0.029531583757295223,1.0,F3,Ependymal,Endothelial,2
2066,CXCL10,0.0459450261215575,0.003,CX3CR1,Ependymal,Endothelial,2
2067,CXCL12,0.056812791674381996,0.014,CX3CR1,Ependymal,Endothelial,2
2374,SFRP5,0.14975113591329434,0.0,WNT5A,Ependymal,Endothelial,2
2663,ADM,0.03030921836966613,0.0,ADRB2,Ependymal,Endothelial,2
