,source,values,pvalues,target,source cell type,target cell type,CT
3938,ALCAM,0.4985927178905873,0.0,CHL1,Ependymal,NG2,2
974,AGT,0.22353325264063797,0.0,PRKCE,Ependymal,NG2,2
3126,ALCAM,1.4482675871190198,0.0,NRP1,Ependymal,Endothelial,2
981,PTN,0.3529827029380403,0.0,PTPRZ1,Ependymal,Endothelial,2
3309,AGT,0.20914674075242468,0.0,EDNRA,Ependymal,Endothelial,2
3049,AGT,0.6107003260507049,0.0,PLCB1,Ependymal,Astrocytes,2
1370,HBEGF,0.5284817576279662,0.0,PIK3CB,Ependymal,Astrocytes,2
501,HBEGF,0.7654876380018849,0.0,PIK3CA,Ependymal,Microglia,2
1370,HBEGF,0.5506006207064108,0.0,PIK3CB,Ependymal,Microglia,2
2365,HBEGF,0.5311313283154966,0.0,PIK3R3,Ependymal,Microglia,2
981,PTN,0.4231625844685944,0.0,PTPRZ1,Ependymal,Microglia,2
2299,AGT,0.27380800549635936,0.0,MAP3K7,Ependymal,Microglia,2
3860,PTN,0.25164841963479895,0.0,PTPRB,Ependymal,Microglia,2
3039,AGT,0.19922695292056677,0.0,MTOR,Ependymal,Microglia,2
3935,BCAN,0.2809938072659891,0.0,NRCAM,Ependymal,Oligodendrocytes,2
878,PTN,0.277127056415558,0.0,SDC3,Ependymal,Oligodendrocytes,2
3049,AGT,0.2535880534060243,0.0,PLCB1,Ependymal,Oligodendrocytes,2
3860,PTN,0.23830376726965172,0.001,PTPRB,Ependymal,Oligodendrocytes,2
3048,CXCL12,0.12344739414410194,0.189,PLCB1,Ependymal,Oligodendrocytes,2
824,FGF7,0.6117551049362764,0.0,IGF1R,Ependymal,Neurons2,2
3126,ALCAM,0.5642295210130769,0.0,NRP1,Ependymal,Neurons2,2
831,VEGFA,0.49942877746048964,0.0,IGF1R,Ependymal,Neurons2,2
981,PTN,0.3377774298389296,0.0,PTPRZ1,Ependymal,Neurons2,2
4246,NPY,0.29735143396601355,0.0,NPY6R,Ependymal,Neurons2,2
3113,FGF7,0.27615963600708127,0.0,NRP1,Ependymal,Neurons2,2
4512,CNTN2,0.22494571291464716,0.0,CNTNAP2,Ependymal,Neurons2,2
4019,ADM,0.19836316771433504,0.0,CALCR,Ependymal,Neurons2,2
3124,SEMA3E,0.19276692113925492,0.0,NRP1,Ependymal,Neurons2,2
3116,VEGFA,0.16383330853129452,0.009,NRP1,Ependymal,Neurons2,2
3125,CNTN2,0.15944017205790012,0.004,NRP1,Ependymal,Neurons2,2
3638,TYK2,0.047527367361576645,0.0,PRKD2,Ependymal,Neurons2,2
1585,PCNA,0.3182686866946631,0.0,DNMT1,NG2,Endothelial,2
1927,SPARC,1.871638336462413,0.0,MMP14,NG2,Astrocytes,2
